"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"5387","XLOC_005388",770.917,794.346,780.431,1262.4,1221.25,1148.13,"CSRNP2"
"5388","XLOC_005389",1440.17,1393.88,1426.26,1391.66,1377.38,1128.26,"TFCP2"
"5389","XLOC_005390",81.3353,78.719,87.1796,111.14,124.901,130.62,"POU6F1"
"5390","XLOC_005391",66.3059,85.0801,80.2052,211.407,173.473,171.321,"SMAGP"
"5391","XLOC_005392",2.65224,0.795141,0,0,0,0,"BIN2"
"5392","XLOC_005393",0,0,0,0,0,0,"CELA1"
"5393","XLOC_005394",212.179,188.448,171.569,146.173,137.044,164.695,"GALNT6"
"5394","XLOC_005395",210.411,217.869,215.508,201.743,308.783,375.77,"FIGNL2"
"5395","XLOC_005396",0.884079,0.795141,0,0,1.73473,4.73262,"KRT80"
"5396","XLOC_005397",0,0,0,0,0,0,"LOC283403"
"5397","XLOC_005398",0,0,0,0,0,0,"KRT81"
"5398","XLOC_005399",0,0,0,0,0,0,"KRT83"
"5399","XLOC_005400",0,0,0,0,0,0,"KRT85"
"5400","XLOC_005401",0,0,0,0,0,0,"KRT84"
"5401","XLOC_005402",0,0,0,0,0,0,"KRT82"
"5402","XLOC_005403",0,0,0,0,0,0,"KRT75"
"5403","XLOC_005404",0,0,0,0,0,0,"KRT6B"
"5404","XLOC_005405",0.884079,0,0,0,0,0,"KRT6C"
"5405","XLOC_005406",0,0,0,0,0,0,"KRT6A"
"5406","XLOC_005407",0.884079,0,0.697436,0,0,0.946523,"KRT5"
"5407","XLOC_005408",0,0,0,0,0,0,"KRT71"
"5408","XLOC_005409",0,0,0,0,0,0,"KRT74"
"5409","XLOC_005410",0,0,0,0,0,0,"KRT72"
"5410","XLOC_005411",0,0,0,0,0,0,"KRT73"
"5411","XLOC_005412",0,0,0,0,0,0,"KRT2"
"5412","XLOC_005413",0,0,0,0,0,0,"KRT1"
"5413","XLOC_005414",0,0,0.697436,0,0,0,"KRT77"
"5414","XLOC_005415",0,0,0,0,0,0,"KRT76"
"5415","XLOC_005416",0.884079,0,0,0,0,0,"KRT3"
"5416","XLOC_005417",0,0,0,0,0,0,"KRT4"
"5417","XLOC_005418",0,0,0,0,0,0,"KRT79"
"5418","XLOC_005419",0,0,0,0,0,0,"KRT78"
"5419","XLOC_005420",1724.84,1781.12,1831.47,8302.85,6827.91,11681,"KRT8"
"5420","XLOC_005421",68.0741,98.5975,73.2308,85.7708,116.227,83.2941,"LOC283335"
"5421","XLOC_005422",67.19,78.719,82.9949,111.14,104.084,141.032,"SPRYD3"
"5422","XLOC_005423",88.4079,101.778,87.1796,207.783,173.473,294.369,"CSAD"
"5423","XLOC_005424",5.30448,4.77085,2.09231,3.62412,6.93893,14.1979,"ITGB7"
"5424","XLOC_005425",470.33,555.804,560.041,148.589,180.412,400.379,"RARG"
"5425","XLOC_005426",509.23,580.453,543.303,504.96,527.359,775.203,"AAAS"
"5426","XLOC_005427",0,0.795141,0.697436,0,0,0,"SP7"
"5427","XLOC_005428",368.661,400.751,412.882,211.407,180.412,186.465,"MAP3K12"
"5428","XLOC_005429",12.3771,9.54169,4.18462,9.66432,12.1431,24.6096,"NPFF"
"5429","XLOC_005430",399.604,411.088,383.59,927.774,759.813,806.438,"ATF7"
