"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p","es_count","de_count","es_present","de_present"
"17471","XLOC_017471",268.295,308.327,297.732,260.307,176.874,294.474,"PRICKLE2",291.451333333333,243.885,-0.257053972936231,1.28825705481482,0.326581024411972,1,3,3,1,1
"6850","XLOC_006850",2245.87,2402.12,1910.1,1865.53,1666.59,1974.42,"MYCBP2",2186.03,1835.51333333333,-0.252129605640901,2.05157017446694,0.176662988225128,1,3,3,1,1
"20213","XLOC_020213",617.794,584.849,622.721,524.085,480.492,550.328,"CSNK2B",608.454666666667,518.301666666667,-0.231357745052709,3.82294762856575,0.062116038244765,1,3,3,1,1
"13885","XLOC_013885",5872.23,6097.63,6383.77,6089.45,3916.77,5728.97,"FZD7",6117.87666666667,5245.06333333333,-0.222070829950382,1.26797567724465,0.332437451838296,1,3,3,1,1
"24052","XLOC_024053",622.571,553.928,546.541,557.057,458.738,482.744,"FZD6",574.346666666667,499.513,-0.20139956282261,1.95728315297517,0.189442691679334,1,3,3,1,1
"16368","XLOC_016368",1405.16,1379.08,1398.5,1006.52,1674.16,1043.93,"CSNK1E,LOC400927,LOC400927-CSNK1E",1394.24666666667,1241.53666666667,-0.167358952140172,0.704634375618991,0.554038665947595,1,3,3,1,1
"17994","XLOC_017994",1191.8,1148.5,1182.54,1219.97,778.436,1139.28,"ANAPC4",1174.28,1045.89533333333,-0.167037968510809,0.941374841430997,0.44588438975068,1,3,3,1,1
"23208","XLOC_023209",12.738,7.95112,9.08572,12.1477,11.3502,3.62058,"SOSTDC1",9.92494666666667,9.03949333333333,-0.134817438357007,0.287585670849968,0.800724774434823,1,3,3,1,1
"4557","XLOC_004557",3188.49,3418.98,3203.07,3172.28,2248.29,3525.24,"LGR4",3270.18,2981.93666666667,-0.133120431387419,0.743018186523087,0.534893252493927,1,3,3,1,1
"6567","XLOC_006567",17.5148,22.0865,13.2791,10.4123,15.1336,22.9304,"MYCBP2-AS1",17.6268,16.1587666666667,-0.125453501844412,0.330010658194958,0.772752429662436,1,3,3,1,1
"7458","XLOC_007458",3967.89,4014.43,3855.84,3521.09,3604.64,3746.1,"CHD8",3946.05333333333,3623.94333333333,-0.122850058591924,3.98689199292035,0.0575357514518527,1,3,3,1,1
"19867","XLOC_019867",4046.71,4158.44,4098.36,4019.14,3250.89,4065.91,"CSNK1A1",4101.17,3778.64666666667,-0.118165925387833,1.21163496975408,0.349378303310447,1,3,3,1,1
"1617","XLOC_001617",796.922,841.936,817.715,859.013,605.345,823.079,"GJA9,GJA9-MYCBP,MYCBP",818.857666666667,762.479,-0.102915101522688,0.702020478441842,0.55536544613006,1,3,3,1,1
"2785","XLOC_002785",1226.83,1208.57,1230.77,1214.77,1036.65,1179.1,"ANAPC16",1222.05666666667,1143.50666666667,-0.0958464076426023,1.43235902020378,0.288400228864874,1,3,3,1,1
"9251","XLOC_009251",303.324,259.737,323.591,185.686,408.608,240.165,"AXIN1",295.550666666667,278.153,-0.0875268090823321,0.249639940387628,0.826165475913065,1,3,3,1,1
"16017","XLOC_016017",418.762,418.759,411.653,413.021,381.178,389.816,"ZNRF3",416.391333333333,394.671666666667,-0.0772870886467459,2.21669208127321,0.156957716603921,1,3,3,1,1
"16287","XLOC_016287",52.5443,58.3082,44.7297,45.1199,59.5886,43.447,"ZNRF3-AS1",51.8607333333333,49.3851666666667,-0.0705648278158785,0.383166070152458,0.73848921216155,1,3,3,1,1
"2990","XLOC_002990",1851.79,1849.96,1834.62,1816.94,1638.21,1864.6,"TCF7L2",1845.45666666667,1773.25,-0.0575819143370044,1.04462350577627,0.405853486016074,1,3,3,1,1
"11310","XLOC_011310",2850.13,3039.1,2900.44,3094.18,2508.4,3075.08,"SMAD4",2929.89,2892.55333333333,-0.0185029408122234,0.186412120613172,0.869317126885329,1,3,3,1,1
"6332","XLOC_006332",1564.39,1570.79,1621.45,1586.14,1619.3,1494.09,"ANAPC5",1585.54333333333,1566.51,-0.0174233278798912,0.45780040616228,0.692020939775232,1,3,3,1,1
"981","XLOC_000981",3345.32,3367.74,3678.32,4097.23,2571.77,3690.58,"CACYBP",3463.79333333333,3453.19333333333,-0.00442174609886624,0.0226221958224983,0.984005738118529,1,3,3,1,1
"5099","XLOC_005099",5.57288,1.76692,1.3978,6.94152,1.8917,0,"TP53AIP1",2.91253333333333,2.94440666666667,0.0157023817489028,-0.012933626406461,0.990854927498603,1,3,2,1,1
"1323","XLOC_001323",74.0397,67.1428,95.0506,53.7968,130.527,55.5156,"DVL1",78.7443666666667,79.9464666666667,0.0218575559198404,-0.0451050834721864,0.968122099136385,1,3,3,1,1
"1386","XLOC_001386",611.425,621.071,668.15,683.74,711.28,546.708,"CTNNBIP1",633.548666666667,647.242666666667,0.0308512686509517,-0.254419493426574,0.822940666362312,1,3,3,1,1
"16114","XLOC_016114",1085.92,993.89,1094.48,1206.09,908.963,1128.41,"RBX1",1058.09666666667,1081.15433333333,0.0311010438908155,-0.243699304039986,0.830181477657034,1,3,3,1,1
"17122","XLOC_017122",1530.15,1522.2,1457.21,1700.67,1369.59,1590.64,"SENP2",1503.18666666667,1553.63333333333,0.0476218841873056,-0.504199489317641,0.664181568310853,1,3,3,1,1
"16439","XLOC_016439",26.2722,21.203,23.0638,19.0892,30.2672,24.1372,"WNT7B",23.513,24.4978666666667,0.0591974985902702,-0.277051875130577,0.80774919151218,1,3,3,1,1
"24347","XLOC_024348",18246.4,19294.7,18007.9,21720,17225.8,20561.3,"SFRP1",18516.3333333333,19835.7,0.0993008714031864,-0.939775987498103,0.446537057073034,1,3,3,1,1
"17652","XLOC_017652",695.814,690.864,696.805,829.512,568.457,836.354,"ANAPC13",694.494333333333,744.774333333333,0.100840432396843,-0.570068457409697,0.626132612335302,1,3,3,1,1
"3512","XLOC_003512",1241.16,1311.94,1237.06,1504.57,1222.04,1380.65,"CACUL1",1263.38666666667,1369.08666666667,0.11591752402923,-1.23915349722401,0.340978473490529,1,3,3,1,1
"9529","XLOC_009529",1043.72,1033.65,1124.53,1410.86,854.104,1238.24,"SIAH1",1067.3,1167.73466666667,0.129746751099898,-0.601270931385549,0.608732500259384,1,3,3,1,1
"8345","XLOC_008345",0,0.883458,0.698902,1.73538,0,0,"CSNK1A1P1",0.527453333333333,0.57846,0.133173745304102,-0.0799514720937022,0.943555900985437,1,2,1,1,0
"21109","XLOC_021109",2012.61,2133.55,2007.25,2504.15,1869.95,2419.76,"MAP3K7",2051.13666666667,2264.62,0.142845367023019,-1.05131096686876,0.403400922482778,1,3,3,1,1
"25715","XLOC_025716",96.3313,76.8609,90.8572,72.886,159.849,68.7911,"ANAPC2",88.0164666666667,100.5087,0.191475023564311,-0.412907404209262,0.719731994145873,1,3,3,1,1
"11697","XLOC_011697",31.0489,20.3195,33.5473,10.4123,63.372,24.1372,"SNAPC2",28.3052333333333,32.6405,0.205594340726606,-0.264686662186468,0.816032675450932,1,3,3,1,1
"15248","XLOC_015248",3239.44,3400.43,3242.9,4123.26,3086.31,4205.91,"CSNK2A1",3294.25666666667,3805.16,0.208004152996787,-1.40316352890108,0.295671979284934,1,3,3,1,1
"7125","XLOC_007125",415.578,439.962,454.286,598.706,432.254,491.192,"SNAPC1",436.608666666667,507.384,0.216737257680135,-1.41492066436237,0.292716509589924,1,3,3,1,1
"897","XLOC_000897",3115.24,3073.55,3138.07,3630.42,3677.47,3544.55,"VANGL2",3108.95333333333,3617.48,0.2185560791394,-11.7566101603904,0.00715737195095359,1,3,3,1,1
"25687","XLOC_025688",207.789,179.342,190.101,173.538,278.08,220.855,"SNAPC4",192.410666666667,224.157666666667,0.220325063472589,-1.01295905948812,0.417694012453081,1,3,3,1,1
"2943","XLOC_002943",1000.73,1020.39,995.935,1256.42,1022.47,1281.69,"BTRC",1005.685,1186.86,0.238971271249508,-2.18661050281977,0.160315655641642,1,3,3,1,1
"18757","XLOC_018757",253.168,258.853,271.174,357.488,201.466,377.747,"ANAPC10",261.065,312.233666666667,0.258217050694838,-0.914628943921198,0.456937246536725,1,3,3,1,1
"16116","XLOC_016116",4579.32,4798.94,3951.59,5244.32,5416.89,5572.08,"EP300",4443.28333333333,5411.09666666667,0.284294874486922,-3.57176291262063,0.070228199349859,1,3,3,1,1
"9601","XLOC_009601",20.6993,23.8534,18.8703,8.6769,43.5092,25.3441,"ENKD1",21.141,25.8434,0.289752265934024,-0.462695263661925,0.689044872842803,1,3,3,1,1
"24100","XLOC_024101",499.171,434.661,568.207,713.241,518.327,701.186,"MYC",500.679666666667,644.251333333333,0.363735751212684,-1.94244252810109,0.191566543468092,1,3,3,1,1
"17106","XLOC_017106",1057.26,1061.03,995.236,1214.77,1545.52,1264.79,"DVL3",1037.842,1341.69333333333,0.3704681309037,-2.89056908040751,0.101743990947735,1,3,3,1,1
"19779","XLOC_019779",4989.32,4996.84,5533.9,7843.92,4999.77,7247.2,"SKP1",5173.35333333333,6696.96333333333,0.372407340035889,-1.72261911739669,0.227098821553969,1,3,3,1,1
"4879","XLOC_004879",0.796126,0.883458,0.698902,0,1.8917,1.20686,"WNT11",0.792828666666667,1.03285333333333,0.381554371204609,-0.432058767529593,0.707819838648605,1,3,2,1,1
"10495","XLOC_010495",303.324,314.511,285.152,314.104,610.074,260.682,"DVL2",300.995666666667,394.953333333333,0.391939481097311,-0.862024670237897,0.479524919394062,1,3,3,1,1
"6379","XLOC_006379",2.38838,8.83458,2.0967,3.47076,10.4044,3.62058,"FZD10-AS1",4.43988666666667,5.83191333333333,0.393446429722547,-0.438791189995095,0.703664034655106,1,3,3,1,1
"17572","XLOC_017572",2261,2425.09,2159.61,3293.75,2584.07,3155.94,"GSK3B",2281.9,3011.25333333333,0.40012851586881,-3.16254788885169,0.0871160708297824,1,3,3,1,1
"26309","XLOC_026310",3353.28,3500.26,3105.22,4657.76,4126.75,4426.76,"PRKX",3319.58666666667,4403.75666666667,0.407731136003812,-5.64255309427438,0.0300022886176648,1,3,3,1,1
"22835","XLOC_022836",38.2141,44.1729,34.9451,57.2675,44.455,54.3087,"FZD1",39.1107,52.0104,0.411236775876123,-2.73181306855457,0.111942498650905,1,3,3,1,1
"16611","XLOC_016611",11988.9,12245.6,11982,17671.4,14556.7,18014.8,"CTNNB1",12072.1666666667,16747.6333333333,0.472272608926434,-4.23748999480746,0.0514320639602269,1,3,3,1,1
"9564","XLOC_009564",866.185,871.09,765.996,1101.97,1101.92,1291.34,"CSNK2A2",834.423666666667,1165.07666666667,0.481572910508922,-4.60387397682428,0.0440831848849321,1,3,3,1,1
"12671","XLOC_012671",671.134,653.759,605.249,980.49,954.364,763.943,"PRKACA",643.380666666667,899.599,0.483609473178196,-3.60685559952031,0.0690057815209976,1,3,3,1,1
"10948","XLOC_010948",24.6799,35.3383,25.8594,32.9722,45.4009,42.2401,"RNF43",28.6258666666667,40.2044,0.490034027284848,-2.30244322815646,0.147900177231524,1,3,3,1,1
"8499","XLOC_008499",215.75,217.331,239.723,286.338,389.691,272.751,"SNAPC5",224.268,316.26,0.495887315795377,-2.43835307560212,0.134964003684651,1,3,3,1,1
"1628","XLOC_001628",613.813,594.567,566.11,810.423,766.14,938.938,"MYCL",591.496666666667,838.500333333333,0.503441318919099,-4.60477285825481,0.0440670967309467,1,3,3,1,1
"26685","XLOC_026687",12285,12573.4,12996.1,20031.5,16507.9,18436,"GPC4",12618.1666666667,18325.1333333333,0.538321383597427,-5.4906190493642,0.0316066923942272,1,3,3,1,1
"13543","XLOC_013543",1.59225,4.41729,2.79561,0,5.67511,7.24116,"ANAPC1P1",2.93505,4.30542333333333,0.552770017898023,-0.583879453894959,0.618380682227196,1,3,2,1,1
"5143","XLOC_005143",2333.45,2607.08,3108.02,4069.47,3668.01,4116.6,"CCND2",2682.85,3951.36,0.55858289840309,-4.73770946557215,0.0417794306080605,1,3,3,1,1
"9329","XLOC_009329",1629.67,1747.48,1613.76,2452.09,2466.78,2601.99,"CREBBP",1663.63666666667,2506.95333333333,0.591594753263447,-13.2440950995607,0.00565276305008209,1,3,3,1,1
"17890","XLOC_017890",31.0489,27.3872,27.9561,32.9722,52.0218,45.8607,"CTBP1-AS",28.7974,43.6182333333333,0.598992775286113,-2.58814331268322,0.122460869716285,1,3,3,1,1
"8389","XLOC_008389",3571.42,3649.57,3258.28,5801.38,4676.29,6228.61,"TP53BP1",3493.09,5568.76,0.672852302859586,-4.34102846602747,0.049183741210964,1,3,3,1,1
