"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"8038","XLOC_008039",69.8423,73.153,90.6667,22.9527,29.4905,79.508,"RLTPR",77.8873333333333,43.9837333333333,-0.824418659503437,1.78490258611226,0.216203350376004,1
"15335","XLOC_015336",247.542,262.397,248.985,113.556,105.819,209.182,"RPUSD3",252.974666666667,142.852333333333,-0.824468316825031,3.27991612284556,0.0817223889665756,1
"17455","XLOC_017456",4020.79,4041.7,4039.55,2396.75,2463.32,1973.5,"DHFR",4034.01333333333,2277.85666666667,-0.824538883572935,11.4384806680681,0.00755646890392666,1
"23077","XLOC_023079",5.30448,10.3368,8.36924,7.24824,3.46947,2.83957,"CCNB3",8.00350666666667,4.51909333333333,-0.824598889313332,1.73379244051484,0.225092059745598,1
"5195","XLOC_005196",13.2612,23.8542,16.041,9.66432,5.2042,15.1444,"SCARNA12",17.7188,10.0043066666667,-0.824659714234613,1.80249174389992,0.213251414976645,1
"10468","XLOC_010469",8.84079,11.9271,4.18462,2.41608,6.93893,4.73262,"CD97",8.31750333333333,4.69587666666667,-0.824756021536139,1.39200953141,0.298510107050468,1
"8280","XLOC_008281",0.884079,0.795141,1.39487,0,1.73473,0,"PRM1",1.02469666666667,0.578243333333333,-0.825448269654995,0.734678348250889,0.538999324378732,1
"7579","XLOC_007580",486.244,445.279,394.052,251.272,220.311,276.385,"TBC1D2B",441.858333333333,249.322666666667,-0.825569844743677,6.16867047631521,0.0252869482243981,1
"3340","XLOC_003340",6.18855,3.18056,6.27693,3.62412,5.2042,0,"FIBIN",5.21534666666667,2.94277333333333,-0.825586729391178,1.23088888665775,0.343475733016775,1
"16921","XLOC_016922",1410.11,1366.05,1226.79,845.628,797.977,614.294,"MCCC2",1334.31666666667,752.633,-0.826082642304343,6.49291613678468,0.0229083704202744,1
"4581","XLOC_004581",6739.34,6105.09,5903.8,3688.14,3806.01,3080.93,"ZBTB44",6249.41,3525.02666666667,-0.826085821459086,8.07432719401474,0.0149945308903444,1
"246","XLOC_000246",55.697,51.6842,54.4,26.5769,17.3473,47.3262,"TINAGL1",53.9270666666667,30.4168,-0.826141179086375,2.628880312662,0.119341954344878,1
"18500","XLOC_018501",1047.63,1138.64,1163.32,503.752,520.42,864.176,"EHMT2",1116.53,629.449333333333,-0.826859855438291,3.97238311164937,0.0579209322220297,1
"11578","XLOC_011579",4.4204,3.9757,2.78975,3.62412,1.73473,0.946523,"GPR4",3.72861666666667,2.101791,-0.827021267204599,1.74615704719618,0.222898325911749,1
