"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name"
"11857","XLOC_011857",4745.71,4357.22,5392.73,3757.1,4037.84,3557.83,"UBA52"
"11858","XLOC_011858",27.0683,22.9699,34.9451,26.0307,31.2131,20.5166,"C19orf60"
"11859","XLOC_011859",18.3109,18.5526,13.978,5.20614,5.67511,3.62058,"TMEM59L"
"11860","XLOC_011860",52.5443,46.8233,49.622,20.8246,51.076,26.5509,"KLHL26"
"11861","XLOC_011861",50.9521,44.1729,55.9121,88.5044,123.907,72.4116,"CRTC1"
"11862","XLOC_011862",597.891,615.77,612.937,511.937,907.071,573.259,"UPF1"
"11863","XLOC_011863",183.905,121.917,168.435,90.2398,187.279,106.204,"DDX49"
"11864","XLOC_011864",216.546,187.293,248.11,112.8,211.871,114.652,"ARMC6"
"11865","XLOC_011865",47.7676,37.9887,39.8374,39.9137,74.7223,36.2058,"SLC25A42"
"11866","XLOC_011866",89.9623,105.132,104.136,112.8,245.921,106.204,"RFXANK"
"11867","XLOC_011867",121.807,108.665,87.3627,255.101,385.907,194.305,"NCAN"
"11868","XLOC_011868",338.354,363.101,364.827,435.58,562.782,334.3,"MAU2"
"11869","XLOC_011869",1079.55,1121.99,1262.22,1023.87,1194.61,963.075,"GATAD2A"
"11870","XLOC_011870",0,0,0,0,0,0,"MIR640"
"11871","XLOC_011871",505.54,460.282,608.044,303.692,777.49,208.787,"NDUFA13"
"11872","XLOC_011872",7.16514,6.18421,2.79561,10.4123,17.9712,3.62058,"YJEFN3"
"11873","XLOC_011873",29.4567,37.9887,32.8484,17.3538,36.8882,12.0686,"CILP2"
"11874","XLOC_011874",960.924,1088.42,1078.41,1100.23,1047.06,1154.97,"ZNF101"
"11875","XLOC_011875",768.262,784.511,770.19,1034.29,716.009,941.351,"ZNF253"
"11876","XLOC_011876",1094.67,1129.94,1081.2,1173.12,855.995,1139.28,"ZNF93"
"11877","XLOC_011877",1420.29,1559.3,1568.34,1863.8,1418.78,1788.57,"ZNF90"
"11878","XLOC_011878",577.988,586.616,592.669,959.665,733.981,902.732,"ZNF486"
"11879","XLOC_011879",458.569,444.379,456.383,720.183,509.814,726.53,"ZNF85"
"11880","XLOC_011880",360.645,428.477,397.675,629.943,431.308,564.811,"ZNF430"
"11881","XLOC_011881",2004.65,2241.33,1926.17,2896.35,2198.16,2939.91,"ZNF714"
"11882","XLOC_011882",974.459,1011.56,985.451,1091.55,852.212,996.867,"ZNF431"
"11883","XLOC_011883",1984.74,2092.91,2095.31,1568.78,1267.44,1467.54,"ZNF738"
"11884","XLOC_011884",582.764,656.409,612.238,746.214,586.428,699.979,"ZNF493"
